plant_id,replicate,environment,species,treatment_t_acre,month,temperature_c,rainfall_mm,gdd,growth_cm,ndvi,ndre,soil_k_mgkg,tissue_n_pct,flower_count,flowering,fruit_count,fruit_set,yield_g
DF001,1,High tunnel,Red,0,1,23.268,137.929,398.04,82.542,0.5092,0.2664,100.327,1.631,0,0,0,0,0.0
DF001,1,High tunnel,Red,0,2,25.704,151.314,471.106,88.294,0.6207,0.3222,81.07,1.735,0,0,0,0,0.0
DF001,1,High tunnel,Red,0,3,25.86,136.017,475.802,94.813,0.6586,0.335,81.498,1.728,0,0,0,0,0.0
DF001,1,High tunnel,Red,0,4,27.13,137.584,513.906,122.748,0.6528,0.3526,70.47,1.855,0,0,0,0,0.0
DF001,1,High tunnel,Red,0,5,27.028,97.127,510.836,124.802,0.7166,0.3956,75.16,1.875,1,1,0,0,0.0
DF001,1,High tunnel,Red,0,6,29.143,92.98,574.294,133.633,0.7488,0.3836,76.059,1.868,1,1,0,0,0.0
DF001,1,High tunnel,Red,0,7,30.275,45.718,608.239,140.889,0.7721,0.4444,99.134,2.019,0,0,0,0,0.0
DF001,1,High tunnel,Red,0,8,31.086,66.557,632.591,146.244,0.7747,0.4413,87.005,2.017,6,1,0,0,0.0
DF002,2,High tunnel,Red,0,1,24.49,115.972,434.687,73.732,0.5592,0.2889,107.766,1.627,0,0,0,0,0.0
DF002,2,High tunnel,Red,0,2,23.65,111.266,409.504,76.721,0.5573,0.312,84.12,1.654,1,1,0,0,0.0
DF002,2,High tunnel,Red,0,3,25.736,122.244,472.069,93.623,0.6382,0.2977,93.71,1.753,0,0,0,0,0.0
DF002,2,High tunnel,Red,0,4,26.858,120.298,505.731,108.053,0.6527,0.3817,80.474,1.703,1,1,0,0,0.0
DF002,2,High tunnel,Red,0,5,27.985,138.307,539.565,110.524,0.6712,0.3601,69.203,1.724,1,1,1,1,273.36
DF002,2,High tunnel,Red,0,6,28.851,106.85,565.524,140.637,0.795,0.4083,64.276,1.714,1,1,0,0,0.0
DF002,2,High tunnel,Red,0,7,29.387,95.197,581.621,140.599,0.7532,0.4062,54.917,1.895,4,1,2,1,537.24
DF002,2,High tunnel,Red,0,8,29.628,56.947,588.837,163.428,0.7717,0.4639,73.664,2.059,2,1,2,1,628.58
